action_taken,action_taken_name,agency_code,agency_abbr,agency_name,applicant_ethnicity,applicant_ethnicity_name,applicant_income_000s,applicant_race_1,applicant_race_2,applicant_race_3,applicant_race_4,applicant_race_5,applicant_race_name_1,applicant_race_name_2,applicant_race_name_3,applicant_race_name_4,applicant_race_name_5,applicant_sex,applicant_sex_name,application_date_indicator,as_of_year,census_tract_number,co_applicant_ethnicity,co_applicant_ethnicity_name,co_applicant_race_1,co_applicant_race_2,co_applicant_race_3,co_applicant_race_4,co_applicant_race_5,co_applicant_race_name_1,co_applicant_race_name_2,co_applicant_race_name_3,co_applicant_race_name_4,co_applicant_race_name_5,co_applicant_sex,co_applicant_sex_name,county_code,county_name,denial_reason_1,denial_reason_2,denial_reason_3,denial_reason_name_1,denial_reason_name_2,denial_reason_name_3,edit_status,edit_status_name,hoepa_status,hoepa_status_name,lien_status,lien_status_name,loan_purpose,loan_purpose_name,loan_type,loan_type_name,msamd,msamd_name,owner_occupancy,owner_occupancy_name,preapproval,preapproval_name,property_type,property_type_name,purchaser_type,purchaser_type_name,respondent_id,sequence_number,state_code,state_abbr,state_name,hud_median_family_income,loan_amount_000s,number_of_1_to_4_family_units,number_of_owner_occupied_units,minority_population,population,rate_spread,tract_to_msamd_income
1,Loan originated,7,HUD,Department of Housing and Urban Development,2,Not Hispanic or Latino,173.0,5,,,,,White,,,,,1,Male,0,2012,8803.06,2,Not Hispanic or Latino,5,,,,,White,,,,,2,Female,197.0,Will County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,3,Refinancing,1,Conventional,16974.0,"Chicago, Joliet, Naperville - IL",1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),6,"Commercial bank, savings bank or savings association",36-4176531,2712,17,IL,Illinois,77300.0,264,2153.0,1971.0,45.81999969482422,7894.0,,170.67999267578125
1,Loan originated,5,NCUA,National Credit Union Administration,2,Not Hispanic or Latino,83.0,5,,,,,White,,,,,1,Male,0,2012,2915.0,5,No co-applicant,8,,,,,No co-applicant,,,,,5,No co-applicant,111.0,Midland County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,3,Refinancing,1,Conventional,,,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,0000060137,328,26,MI,Michigan,52100.0,116,1662.0,1271.0,3.3399999141693115,4315.0,,102.76000213623048
6,Loan purchased by the institution,9,CFPB,Consumer Financial Protection Bureau,4,Not applicable,70.0,7,,,,,Not applicable,,,,,4,Not applicable,2,2012,212.01,4,Not applicable,7,,,,,Not applicable,,,,,4,Not applicable,7.0,Benton County,,,,,,,6.0,Quality edit failure only,2,Not a HOEPA loan,4,Not applicable,3,Refinancing,1,Conventional,22220.0,"Fayetteville, Springdale, Rogers - AR, MO",1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),8,Affiliate institution,0000476810,43575,5,AR,Arkansas,58200.0,159,1194.0,708.0,21.8700008392334,4239.0,,127.63999938964844
6,Loan purchased by the institution,9,CFPB,Consumer Financial Protection Bureau,2,Not Hispanic or Latino,108.0,5,,,,,White,,,,,2,Female,2,2012,407.06,5,No co-applicant,8,,,,,No co-applicant,,,,,5,No co-applicant,123.0,Ramsey County,,,,,,,,,2,Not a HOEPA loan,4,Not applicable,3,Refinancing,1,Conventional,33460.0,"Minneapolis, St. Paul, Bloomington - MN, WI",1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),1,Fannie Mae (FNMA),0000451965,2374657,27,MN,Minnesota,83900.0,100,1927.0,1871.0,13.68000030517578,4832.0,,137.66999816894528
1,Loan originated,3,FDIC,Federal Deposit Insurance Corporation,2,Not Hispanic or Latino,,5,,,,,White,,,,,1,Male,0,2012,104.0,2,Not Hispanic or Latino,5,,,,,White,,,,,2,Female,3.0,Allen County,,,,,,,6.0,Quality edit failure only,2,Not a HOEPA loan,1,Secured by a first lien,2,Home improvement,1,Conventional,23060.0,Fort Wayne - IN,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,0000013801,11,18,IN,Indiana,63800.0,267,1309.0,1160.0,4.679999828338623,3612.0,,139.10000610351562
1,Loan originated,7,HUD,Department of Housing and Urban Development,2,Not Hispanic or Latino,144.0,5,,,,,White,,,,,1,Male,0,2012,8057.01,2,Not Hispanic or Latino,5,,,,,White,,,,,1,Male,31.0,Cook County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,3,Refinancing,1,Conventional,16974.0,"Chicago, Joliet, Naperville - IL",1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),3,Freddie Mac (FHLMC),36-4327855,22594,17,IL,Illinois,77300.0,260,1390.0,1700.0,6.440000057220459,5074.0,,140.55000305175778
1,Loan originated,7,HUD,Department of Housing and Urban Development,2,Not Hispanic or Latino,51.0,3,,,,,Black or African American,,,,,1,Male,0,2012,17.0,5,No co-applicant,8,,,,,No co-applicant,,,,,5,No co-applicant,19.0,Calcasieu Parish,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,1,Home purchase,1,Conventional,29340.0,Lake Charles - LA,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),1,Fannie Mae (FNMA),7056000000,34177,22,LA,Louisiana,62400.0,115,3500.0,2797.0,29.26000022888184,8745.0,,86.73999786376953
1,Loan originated,7,HUD,Department of Housing and Urban Development,2,Not Hispanic or Latino,162.0,5,,,,,White,,,,,1,Male,0,2012,2.01,2,Not Hispanic or Latino,5,,,,,White,,,,,2,Female,49.0,Grand County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,3,Refinancing,2,FHA-insured,,,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),6,"Commercial bank, savings bank or savings association",87-0623581,2141,8,CO,Colorado,61000.0,283,5706.0,1724.0,9.649999618530273,4817.0,,128.55999755859378
1,Loan originated,3,FDIC,Federal Deposit Insurance Corporation,2,Not Hispanic or Latino,32.0,5,,,,,White,,,,,2,Female,0,2012,103.04,5,No co-applicant,8,,,,,No co-applicant,,,,,5,No co-applicant,3.0,Allen County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,3,Refinancing,1,Conventional,23060.0,Fort Wayne - IN,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,0000013801,10,18,IN,Indiana,63800.0,40,2384.0,2210.0,6.639999866485597,6601.0,3.33,149.69000244140625
1,Loan originated,9,CFPB,Consumer Financial Protection Bureau,2,Not Hispanic or Latino,38.0,5,,,,,White,,,,,1,Male,0,2012,9608.0,2,Not Hispanic or Latino,5,,,,,White,,,,,2,Female,41.0,Talbot County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,3,Refinancing,1,Conventional,,,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),3,Freddie Mac (FHLMC),0000504713,18459,24,MD,Maryland,72600.0,108,1311.0,785.0,6.039999961853027,1920.0,,77.27999877929688
1,Loan originated,7,HUD,Department of Housing and Urban Development,2,Not Hispanic or Latino,47.0,5,,,,,White,,,,,1,Male,0,2012,22.04,1,Hispanic or Latino,5,,,,,White,,,,,2,Female,19.0,Calcasieu Parish,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,1,Home purchase,3,VA-guaranteed,29340.0,Lake Charles - LA,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),6,"Commercial bank, savings bank or savings association",7056000000,33791,22,LA,Louisiana,62400.0,158,1854.0,1463.0,12.40999984741211,4955.0,,112.01000213623048
1,Loan originated,7,HUD,Department of Housing and Urban Development,1,Hispanic or Latino,126.0,5,,,,,White,,,,,1,Male,0,2012,6137.0,2,Not Hispanic or Latino,5,,,,,White,,,,,2,Female,81.0,San Mateo County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,3,Refinancing,1,Conventional,41884.0,"San Francisco, San Mateo, Redwood City - CA",1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),7,"Life insurance company, credit union, mortgage bank, or finance company",80-0051964,759,6,CA,California,103000.0,200,3183.0,2328.0,40.18999862670898,8755.0,,100.79000091552734
6,Loan purchased by the institution,9,CFPB,Consumer Financial Protection Bureau,4,Not applicable,,7,,,,,Not applicable,,,,,4,Not applicable,2,2012,2019.04,4,Not applicable,7,,,,,Not applicable,,,,,4,Not applicable,27.0,Cleveland County,,,,,,,,,2,Not a HOEPA loan,4,Not applicable,1,Home purchase,2,FHA-insured,36420.0,Oklahoma City - OK,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,0000451965,39185,40,OK,Oklahoma,61500.0,121,1773.0,1466.0,33.779998779296875,4598.0,,116.7699966430664
3,Application denied by financial institution,7,HUD,Department of Housing and Urban Development,2,Not Hispanic or Latino,45.0,5,,,,,White,,,,,1,Male,0,2012,25.0,5,No co-applicant,8,,,,,No co-applicant,,,,,5,No co-applicant,7.0,Chittenden County,1.0,,,Debt-to-income ratio,,,,,2,Not a HOEPA loan,1,Secured by a first lien,3,Refinancing,1,Conventional,15540.0,"Burlington, South Burlington - VT",2,Not owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,7811300008,5711,50,VT,Vermont,76700.0,206,1092.0,627.0,16.440000534057614,4026.0,,67.86000061035156
5,File closed for incompleteness,7,HUD,Department of Housing and Urban Development,2,Not Hispanic or Latino,68.0,5,,,,,White,,,,,1,Male,0,2012,3003.08,2,Not Hispanic or Latino,5,,,,,White,,,,,2,Female,89.0,Monroe County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,3,Refinancing,1,Conventional,,,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,26-0021318,58078,42,PA,Pennsylvania,55600.0,163,1291.0,834.0,42.61999893188477,3074.0,,90.06999969482422
1,Loan originated,5,NCUA,National Credit Union Administration,2,Not Hispanic or Latino,49.0,5,,,,,White,,,,,2,Female,0,2012,9702.0,2,Not Hispanic or Latino,5,,,,,White,,,,,1,Male,33.0,Dunn County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,3,Refinancing,1,Conventional,,,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),1,Fannie Mae (FNMA),0000066742,1981,55,WI,Wisconsin,59900.0,169,1945.0,1477.0,3.059999942779541,4737.0,,98.51000213623048
1,Loan originated,7,HUD,Department of Housing and Urban Development,2,Not Hispanic or Latino,371.0,5,,,,,White,,,,,1,Male,0,2012,8199.0,2,Not Hispanic or Latino,5,,,,,White,,,,,2,Female,31.0,Cook County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,3,Refinancing,1,Conventional,16974.0,"Chicago, Joliet, Naperville - IL",1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),6,"Commercial bank, savings bank or savings association",36-4176531,2711,17,IL,Illinois,77300.0,405,1160.0,1053.0,4.889999866485597,3398.0,,227.0200042724609
1,Loan originated,9,CFPB,Consumer Financial Protection Bureau,2,Not Hispanic or Latino,187.0,5,,,,,White,,,,,1,Male,0,2012,2154.0,2,Not Hispanic or Latino,5,,,,,White,,,,,2,Female,189.0,St. Louis County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,3,Refinancing,1,Conventional,41180.0,"St. Louis - MO, IL",1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,0000480228,322401,29,MO,Missouri,70400.0,890,2001.0,1818.0,6.8400001525878915,5159.0,,259.16000366210943
4,Application withdrawn by applicant,7,HUD,Department of Housing and Urban Development,1,Hispanic or Latino,,5,,,,,White,,,,,1,Male,0,2012,71.04,5,No co-applicant,8,,,,,No co-applicant,,,,,5,No co-applicant,71.0,San Bernardino County,,,,,,,6.0,Quality edit failure only,2,Not a HOEPA loan,1,Secured by a first lien,3,Refinancing,3,VA-guaranteed,40140.0,"Riverside, San Bernardino, Ontario - CA",1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,43-1965151,26093,6,CA,California,63300.0,212,1411.0,1231.0,49.22999954223633,4093.0,,149.8699951171875
1,Loan originated,5,NCUA,National Credit Union Administration,2,Not Hispanic or Latino,46.0,5,,,,,White,,,,,1,Male,0,2012,9.0,2,Not Hispanic or Latino,5,,,,,White,,,,,2,Female,5.0,Barron County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,3,Refinancing,1,Conventional,,,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),1,Fannie Mae (FNMA),0000066742,1980,55,WI,Wisconsin,59900.0,101,2124.0,1634.0,3.2999999523162837,5123.0,,91.05999755859376
